Jan 02, 2019 3:30:03 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 02, 2019 3:30:03 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 02, 2019 3:30:04 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/vagrant/opendaylight-0.9.1/lock
Jan 02, 2019 3:30:04 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 02, 2019 3:30:04 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2019-01-02T03:30:05,517 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 | Adding features: f86f9f81-84c4-4a1e-8ed6-3bcb8165740b/[0,0.0.0]
2019-01-02T03:30:05,934 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-01-02T03:30:05,934 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.sshd/sshd-core/1.6.0
2019-01-02T03:30:05,934 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.jline/jline/3.6.2
2019-01-02T03:30:05,934 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.ow2.asm/asm-all/5.2
2019-01-02T03:30:05,934 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.4/jar/uber
2019-01-02T03:30:05,936 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 | Installing bundles:
2019-01-02T03:30:05,936 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.opendaylight.odlparent/karaf.branding/3.1.4
2019-01-02T03:30:05,940 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2019-01-02T03:30:05,943 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.1.0
2019-01-02T03:30:05,945 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.8.3
2019-01-02T03:30:05,951 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2019-01-02T03:30:05,952 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2019-01-02T03:30:05,954 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2019-01-02T03:30:05,955 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2019-01-02T03:30:05,958 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2019-01-02T03:30:05,959 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.1
2019-01-02T03:30:05,962 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries.quiesce/org.apache.aries.quiesce.api/1.0.0
2019-01-02T03:30:05,963 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2019-01-02T03:30:05,967 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.1.6
2019-01-02T03:30:05,968 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.1.6
2019-01-02T03:30:05,971 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.1.6
2019-01-02T03:30:05,974 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.1.6
2019-01-02T03:30:05,975 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.1.6
2019-01-02T03:30:05,977 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.1.6
2019-01-02T03:30:05,978 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.1.6
2019-01-02T03:30:05,980 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.1.6
2019-01-02T03:30:05,982 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.1.6
2019-01-02T03:30:05,983 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.1.6
2019-01-02T03:30:05,986 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.1.6
2019-01-02T03:30:05,990 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.1.6
2019-01-02T03:30:05,991 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.1.6
2019-01-02T03:30:05,993 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.1.6
2019-01-02T03:30:05,996 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.1.6
2019-01-02T03:30:06,007 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.1.6
2019-01-02T03:30:06,009 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.1.6
2019-01-02T03:30:06,011 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.1.6
2019-01-02T03:30:06,013 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.1.6
2019-01-02T03:30:06,015 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.1.6
2019-01-02T03:30:06,018 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.1.6
2019-01-02T03:30:06,020 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.1.6
2019-01-02T03:30:06,023 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.1.6
2019-01-02T03:30:06,031 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.1.6
2019-01-02T03:30:06,035 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.1.6
2019-01-02T03:30:06,036 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.1.6
2019-01-02T03:30:06,038 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-01-02T03:30:06,042 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.apache.sshd/sshd-core/1.6.0
2019-01-02T03:30:06,059 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.jline/jline/3.6.2
2019-01-02T03:30:06,065 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.ow2.asm/asm-all/5.2
2019-01-02T03:30:06,069 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.5.4/jar/uber
2019-01-02T03:30:06,235 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 | Starting bundles:
2019-01-02T03:30:06,236 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.ops4j.pax.url.wrap/2.5.4
2019-01-02T03:30:06,242 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.quiesce.api/1.0.0
2019-01-02T03:30:06,242 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.blueprint.api/1.0.1
2019-01-02T03:30:06,243 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.objectweb.asm.all/5.2.0
2019-01-02T03:30:06,243 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.proxy/1.1.1
2019-01-02T03:30:06,248 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.blueprint.core/1.8.3
2019-01-02T03:30:06,443 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.blueprint.cm/1.1.0
2019-01-02T03:30:06,461 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.util/1.1.3
2019-01-02T03:30:06,462 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.deployer.wrap/4.1.6
2019-01-02T03:30:06,467 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.deployer.kar/4.1.6
2019-01-02T03:30:06,472 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.deployer.blueprint/4.1.6
2019-01-02T03:30:06,478 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.deployer.features/4.1.6
2019-01-02T03:30:06,515 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.jaas.config/4.1.6
2019-01-02T03:30:06,524 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.jaas.modules/4.1.6
2019-01-02T03:30:06,531 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.sshd.core/1.6.0
2019-01-02T03:30:06,533 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.jline/3.6.2
2019-01-02T03:30:06,533 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.shell.core/4.1.6
2019-01-02T03:30:06,576 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Registering commands for bundle org.apache.karaf.deployer.kar/4.1.6
2019-01-02T03:30:06,827 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.jaas.command/4.1.6
2019-01-02T03:30:06,851 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Registering commands for bundle org.apache.karaf.jaas.command/4.1.6
2019-01-02T03:30:06,854 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Updating commands for bundle org.apache.karaf.jaas.command/4.1.6
2019-01-02T03:30:06,855 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Updating commands for bundle org.apache.karaf.jaas.command/4.1.6
2019-01-02T03:30:06,856 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.management.server/4.1.6
2019-01-02T03:30:06,861 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.shell.commands/4.1.6
2019-01-02T03:30:07,017 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Registering commands for bundle org.apache.karaf.shell.commands/4.1.6
2019-01-02T03:30:07,018 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.shell.table/4.1.6
2019-01-02T03:30:07,019 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.jmx.api/1.1.5
2019-01-02T03:30:07,019 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.aries.jmx.core/1.1.8
2019-01-02T03:30:07,023 | INFO  | features-1-thread-1 | core                             | 22 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2019-01-02T03:30:07,064 | INFO  | features-1-thread-1 | core                             | 22 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=255792f5-69cb-4799-bea4-d2ba9740ed58] for service with service.id [13]
2019-01-02T03:30:07,067 | INFO  | features-1-thread-1 | core                             | 22 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.eclipse.osgi,uuid=255792f5-69cb-4799-bea4-d2ba9740ed58] for service with service.id [32]
2019-01-02T03:30:07,069 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.diagnostic.core/4.1.6
2019-01-02T03:30:07,102 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.1.6
2019-01-02T03:30:07,102 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.service.core/4.1.6
2019-01-02T03:30:07,116 | INFO  | features-1-thread-1 | CommandExtension                 | 49 - org.apache.karaf.shell.core - 4.1.6 | Registering commands for bundle org.apache.karaf.service.core/4.1.6
2019-01-02T03:30:07,116 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   org.apache.karaf.config.core/4.1.6
2019-01-02T03:30:07,120 | INFO  | pool-12-thread-1 | core                             | 22 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.service.permissionadmin.PermissionAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=255792f5-69cb-4799-bea4-d2ba9740ed58
